German,English,Frequency
ich,I,5890279
sie,they,3806767
das,the,3122198
ist,is,3025610
du,you,2947020
nicht,Not,2756783
die,the,2484854
es,it,2303025
und,and,2289891
der,of the,1726001
wir,we,1721620
was,What,1696010
zu,to,1424706
er,he,1352161
ein,a,1315301
in,in,1231372
ja,Yes,1054114
mir,me,1019451
mit,With,1014541
wie,how,928920
den,the,920646
mich,me,893076
auf,on,881418
dass,that,879520
aber,but,854492
eine,a,839485
so,so,813903
hat,Has,799017
hier,here,754243
haben,to have,742327
für,For,735252
sind,are,727078
war,was,712337
von,of,706490
wenn,if,694462
dich,you,688780
ihr,their,655351
nein,No,641479
habe,have,636175
an,on,627600
bin,am,576589
noch,yet,572486
nur,just,564245
da,there,564244
dir,to you,554802
sich,yourself,533395
einen,one,532402
uns,us,523604
hast,have,511491
dem,the,465044
kann,can,461755
gut,Well,452726
auch,also,449250
schon,beautiful,442343
als,when,440490
sein,be,440142
mal,times,435631
jetzt,now,435411
ihn,him,435147
dann,then,429424
aus,out,425184
meine,my,420280
um,around,417759
im,in the,403737
wird,becomes,394216
mein,my,384765
bist,are,381498
doch,but,381456
alles,everything,366575
weiß,White,357869
keine,no,349315
oder,or,341214
nach,to,326208
s,s,309957
nichts,Nothing,308672
man,you,300922
muss,got to,295567
werden,will,294676
will,want,293445
ihnen,them,292370
geht,going,290919
wo,Where,288363
etwas,something,286968
oh,Oh,284455
mehr,more,281301
bei,at,277087
also,so,276548
bitte,You're welcome,261548
immer,always,260238
hab,hab,252697
warum,Why,251177
vor,in front,247840
los,Come on,242543
können,can,240905
wieder,again,240508
sagen,say,236702
machen,do,228412
danke,Thank you,227937
sehr,very,226425
alle,all,224850
denn,because,224543
mann,man,222707
tun,to do,219102
ihm,him,217025
zum,to the,216201
gehen,go,213952
sehen,see,212948
vielleicht,maybe,212216
einem,one,210889
wer,who,210823
ihre,your,208915
diese,this,208607
euch,to you,206931
einer,one,202097
komm,come over,201117
über,above,196855
gibt,gives,196771
okay,OK,196683
wissen,knowledge,192456
deine,yours,191923
müssen,have to,191257
soll,should,191100
werde,will,187290
nie,never,185925
wirklich,really,185166
hey,hey,185011
kein,no,177553
viel,a lot of,176767
weg,path,175124
würde,would,175047
tut,does,172752
am,at the,170913
des,of,169182
einfach,simple,168892
leben,Life,167721
hatte,would have,162793
zeit,time,160393
weil,because,159743
willst,want,159106
kommen,come,156754
dein,your,155913
heute,today,154162
kommt,coming,153845
wollen,want,152595
damit,in order to,150635
ganz,all,149683
wäre,would,149557
wollte,wanted,148643
weißt,know,147614
ok,OK,147191
sicher,for sure,145360
gesagt,told,144870
frau,Mrs,143725
nun,now,143552
bis,to,142166
wurde,has been,141236
leid,suffering,140641
na,n / A,140395
kannst,can,136795
macht,makes,134768
dieser,this,134205
zurück,back,133326
lassen,to let,131393
hallo,Hello,128561
meinen,mean,128288
gott,God,127498
seine,his,126038
hätte,would have,125345
zwei,two,122625
könnte,could,117870
genau,I agree,117667
waren,were,117474
zur,to,115474
lass,let,115316
klar,clear,113688
morgen,tomorrow,112042
leute,People,109956
vater,father,109048
schön,beautiful,106669
glaube,faith,105941
mr.,mr.,105640
ab,from,104853
gerade,just,104130
tag,Day,103559
gesehen,seen,103106
reden,talk,101992
wohl,well,100488
liebe,love,99301
sollte,should,98826
sagte,said,98657
unsere,our,98478
jemand,someone,98283
geld,money,98052
durch,by,97587
ob,if,97001
keinen,no,96394
mutter,mother,95349
raus,Out,95012
gemacht,made,94261
paar,pair,93818
mach,mach,93345
passiert,happens,93021
dachte,thought,92867
besser,better,92556
musst,must,92429
wieso,how so,92191
sir,sir,92012
dieses,this,91148
selbst,self,90135
gehört,belongs,89459
möchte,would like to,89068
ohne,without,88934
hör,hear,88336
her,here,87571
sag,say,87203
meiner,mine,86264
anderen,other,86205
helfen,help,85664
nacht,night,85102
finden,Find,83987
diesen,this,83932
gute,quality,83835
wirst,will,83791
lange,Long,82872
natürlich,Naturally,82710
ach,Oh,82252
meinem,my,82233
gar,at all,82082
ins,in the,80529
sei,be,80433
dort,There,79951
weiter,continue,79598
geben,give,78926
seit,since,78517
gleich,equal,78080
sagt,says,78008
recht,Law,77861
ihren,their,76796
richtig,correct,76789
ordnung,order,76635
vom,from,76597
hören,Listen,76109
sieht,looks,75968
davon,from that,75947
dafür,for this,75302
geh,go,74468
diesem,this,74234
wegen,because of,74062
hause,home,73059
sollten,should,72777
mädchen,girl,72685
hin,down,72272
sollen,should,71445
abend,Eve,71375
haus,House,70976
denke,think,70824
viele,lots,70545
drei,three,69824
deinen,your,69621
freund,friend,69586
guten,good,68866
unser,our,68722
warte,wait,68407
machst,doing,67926
menschen,People,67631
essen,eat,67594
angst,fear,67249
bleiben,stay,67238
zusammen,together,66885
welt,world,66821
unter,under,66173
habt,have,66045
schnell,fast,66011
andere,other,65229
tot,dead,64995
getan,done,64404
darf,may,64161
erst,first,64092
rein,purely,64028
stimmt,Right,63896
nehmen,to take,63773
kinder,children,63716
eines,one,63710
glauben,believe,63577
bringen,bring,63285
ganze,whole,62461
genug,enough,62381
scheiße,crap,61982
brauchen,need,61791
gegen,against,61438
moment,moment,61265
junge,Boy,60843
steht,stands,60832
sonst,otherwise,60478
musik,music,59500
arbeit,job,59309
seid,are,58799
ihrer,of their,58510
fragen,ask,58352
herr,Mr,58200
dabei,there,57923
heißt,is called,57306
familie,family,57288
warten,waiting,56911
niemand,nobody,56907
sofort,immediately,56605
bevor,before,56210
jahre,years,56075
einmal,once,55398
problem,problem,54783
sohn,son,54396
wann,when,54105
brauche,need,53799
fertig,finished,53738
halt,stop,53723
allein,alone,53720
beim,at the,53673
sprechen,speak,53232
beide,both,53120
gefunden,found,53083
hatten,had,53008
sache,Thing,52830
hilfe,Help,52679
verdammt,damned,52499
ne,ne,52438
jeder,everyone,52254
warst,were,52211
gern,gladly,52147
konnte,could,51818
darüber,about that,51711
halten,hold,51690
siehst,see,51444
verstehe,understand,51294
jahren,years,51158
kam,came,51041
kind,child,50922
wusste,knew,50878
wahr,true,50700
seinen,his,50311
dazu,to,50144
bruder,brothers,50137
daran,it,50081
ihrem,their,50046
denken,think,49912
könnten,could,49708
dank,thanks,49155
würden,would,49143
lieber,Dear,49123
fall,case,49042
deiner,yours,48756
sehe,see,48293
egal,no matter,48287
kennen,know,48114
deinem,your,48010
vergessen,to forget,47889
frage,question,47512
mache,make,47510
komme,get,47282
sage,legend,47197
mag,like,47150
sieh,look,47133
echt,real,46884
gib,give,46863
eigentlich,actually,46744
jeden,each,46594
dad,dad,46472
gab,gave,46178
uhr,Clock,46117
stadt,city,45812
männer,Men,45451
baby,infant,45434
fahren,drive,45060
namen,names,44998
bekommen,to get,44852
kopf,head,44851
hi,Hi,44653
gehe,go,44502
kleine,small,44338
später,later,44320
glück,happiness,44295
letzte,latest,44246
freunde,friends,43913
n,n,43890
all,Alles,43808
darauf,thereon,43236
ende,end,43216
dr.,dr.,42899
bald,soon,42834
töten,kill,42735
dinge,things,42560
meinst,mean,42522
toll,Great,42438
eins,one,42157
minuten,minutes,42139
vielen,a lot of,42047
bereit,ready,41925
weit,far,41558
ahnung,idea,41525
seiner,his,41478
bisschen,little,41471
tür,door,41457
auto,automobile,41372
jungs,guys,40783
eure,your,40647
augen,eyes,40593
polizei,police,40572
stehen,stand,40469
sterben,to die,40334
hätten,had,40190
draußen,outside,40075
kenne,know,39750
fast,nearly,39542
runter,down,39290
vorbei,past,38763
treffen,to meet,38758
gerne,with pleasure,38739
dran,tuned,38593
wurden,were,38564
arbeiten,work,38510
mom,mom,38250
verrückt,insane,38126
neue,new,38119
ging,went,38051
hinter,Behind,37964
sorgen,to care,37844
einzige,single,37724
jemanden,someone,37451
darum,therefore,37424
tochter,daughter,37375
braucht,need,37187
idee,idea,37181
schwester,sister,37032
drin,in it,36941
ruhig,calm,36940
sah,saw,36936
ganzen,all,36929
spät,late,36834
ziemlich,quite,36820
solltest,should,36770
name,Surname,36668
sogar,even,36650
kurz,short,36629
kerl,Guy,36512
frauen,women,36457
liegt,lies,36313
suchen,search,36294
finde,find,36286
je,ever,36205
woher,from where,36061
lang,long,36029
job,job,35995
keiner,none,35951
seinem,his,35907
hört,hears,35796
verstehen,understand,35693
spielen,play,35600
s.,s.,35596
überhaupt,at all,35566
teufel,devil,35421
verstanden,Understood,35353
verloren,lost,35282
große,size,35255
hand,hand,35247
grund,reason,35243
jahr,year,35092
kommst,coming,34951
mama,mummy,34883
ruhe,Quiet,34794
gewesen,been,34766
tod,death,34408
stunden,hours,34244
hoffe,hope,34207
denkst,think,34170
oben,above,34115
gestern,yesterday,34095
versuchen,to attempt,34093
art,kind,34062
letzten,last,34029
schatz,treasure,34026
endlich,at last,33924
he,hey,33922
nimm,take,33866
etwa,approximately,33845
erzählt,tells,33821
läuft,running,33798
schwer,heavy,33640
anders,different,33554
miss,ill,33536
musste,had to,33428
fünf,five,33424
wasser,water,33387
lässt,leaves,33377
erste,first,33254
versucht,tries,33190
gekommen,came,33073
geschichte,history,33070
wenig,little,33015
holen,to fetch,32820
bedeutet,means,32688
nett,kind,32685
wahrheit,truth,32627
woche,week,32543
bringt,brings,32528
deshalb,therefore,32451
welche,Which,32349
bestimmt,certainly,32232
hoch,high,32147
alter,Age,32101
sagst,say,32048
schau,show,32038
ah,Ah,31832
land,country,31728
zimmer,room,31727
wagen,dare,31434
vier,four,31390
gefallen,like,31368
spaß,fun,31361
niemals,No way,31303
schuld,fault,31228
getötet,killed,31223
wollten,wanted to,31158
verlassen,leave,31021
zeigen,demonstrate,30869
beste,best,30671
ernst,serious,30649
unserer,our,30644
denen,to those,30608
ort,place,30562
bleibt,remains,30520
würdest,would,30516
manchmal,sometimes,30500
glaubst,think,30407
seite,page,30345
lasst,leaves,30331
zwischen,between,30326
eben,just,30288
während,while,30284
spiel,game,30057
nehme,take,30019
ersten,first,29956
guter,goods,29956
chance,chance,29888
freundin,girlfriend,29850
krieg,war,29815
gefällt,like,29665
kleinen,small,29378
erzählen,tell,29301
anderes,other,29170
tage,days,29111
entschuldigen,to apologize,29089
wichtig,important,29007
gehst,going,28954
allen,all,28945
bett,bed,28931
mrs.,mrs.,28822
sachen,stuff,28679
the,the,28674
schlecht,bad,28460
schule,school,28409
entschuldigung,Excuse me,28406
wort,word,28327
john,John,28291
hättest,had,28253
wären,would,28193
typ,Type,27983
schlafen,sleep,27946
äh,um,27883
tu,tu,27733
euer,your,27634
captain,captain,27491
gesicht,face,27489
falls,if,27447
neuen,new,27364
bloß,just,27288
unten,below,27259
teil,part,27243
beiden,both,27228
mensch,man,27093
kleiner,smaller,27048
stellen,put,26821
oft,often,26820
sorge,worry,26812
gedacht,thought,26691
tust,do,26635
trinken,drink,26484
einige,some,26477
dies,this,26436
ding,thing,26389
unseren,our,26378
kriegen,Obtain,26366
blut,blood,26293
ehrlich,honest,26290
eltern,parents,26221
scheint,seems,26026
herz,heart,26008
jack,Jack,25967
glücklich,happy,25915
alte,old,25827
alt,old,25682
bleib,permanent,25656
wiedersehen,meet again,25645
frei,free,25635
wen,whom,25569
drauf,it,25564
möglich,possible,25388
irgendwie,somehow,25378
reicht,enough,25343
fest,firmly,25199
besten,best,25164
waffe,weapon,25140
